Symbol,Name,Market Cap,Country,Sector,Industry
APD,Air Products and Chemicals Inc. Common Stock,74347940646.0,United States,Industrials,Major Chemicals
COIN,Coinbase Global Inc. Class A Common Stock,74153801217.0,United States,Finance,Finance: Consumer Services
FDX,FedEx Corporation Common Stock,73949382849.0,United States,Consumer Discretionary,Air Freight/Delivery Services
COF,Capital One Financial Corporation Common Stock,73253799615.0,United States,Finance,Major Banks
TRI,Thomson Reuters Corp Common Shares,73118773422.0,United States,Consumer Discretionary,Publishing
FTNT,Fortinet Inc. Common Stock,72851328945.0,United States,Technology,Computer peripheral equipment
MMM,3M Company Common Stock,72714910793.0,United States,Health Care,Medical/Dental Instruments
CNQ,Canadian Natural Resources Limited Common Stock,72195824560.0,Canada,Energy,Oil & Gas Production
ORLY,O'Reilly Automotive Inc. Common Stock,71771952151.0,United States,Consumer Discretionary,Auto & Home Supply Stores
CP,Canadian Pacific Kansas City Limited Common Shares,71468054090.0,Canada,Industrials,Railroads
SAN,Banco Santander S.A. Sponsored ADR (Spain),71446703693.0,Spain,Finance,Commercial Banks
NOC,Northrop Grumman Corporation Common Stock,71339724210.0,United States,Industrials,Industrial Machinery/Components
WMB,Williams Companies Inc. (The) Common Stock,71336570419.0,United States,Utilities,Natural Gas Distribution
EQNR,Equinor ASA,71203647422.0,Norway,Energy,Integrated oil Companies
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),70735923580.0,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
CSX,CSX Corporation Common Stock,70483720042.0,United States,Industrials,Railroads
TDG,Transdigm Group Incorporated Common Stock,70455064431.0,United States,Industrials,Military/Government/Technical
ECL,Ecolab Inc. Common Stock,70442165215.0,United States,Consumer Discretionary,Package Goods/Cosmetics
CNI,Canadian National Railway Company Common Stock,70308855000.0,Canada,Industrials,Railroads
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,70110058421.0,Canada,Finance,Major Banks
CRH,CRH PLC Ordinary Shares,69570525748.0,Ireland,Industrials,Building Materials
BMO,Bank Of Montreal Common Stock,69476624064.0,Canada,Finance,Commercial Banks
CARR,Carrier Global Corporation Common Stock ,69418480921.0,United States,Industrials,Industrial Machinery/Components
TEAM,Atlassian Corporation Class A Common Stock,68645028983.0,Australia,Technology,Computer Software: Prepackaged Software
AJG,Arthur J. Gallagher & Co. Common Stock,68505456000.0,United States,Finance,Specialty Insurers
RSG,Republic Services Inc. Common Stock,68361103867.0,United States,Utilities,Environmental Services
ET,Energy Transfer LP Common Units ,67998982028.0,United States,Utilities,Natural Gas Distribution
DEO,Diageo plc Common Stock,66396681900.0,United Kingdom,Consumer Staples,Beverages (Production/Distribution)
OKE,ONEOK Inc. Common Stock,66363324098.0,United States,Utilities,Oil & Gas Production
WDAY,Workday Inc. Class A Common Stock,66247350000.0,United States,Technology,EDP Services
RCL,Royal Caribbean Cruises Ltd. Common Stock,65621691074.0,United States,Consumer Discretionary,Marine Transportation
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,65359892797.0,United States,Consumer Discretionary,Other Consumer Services
DLR,Digital Realty Trust Inc. Common Stock,64912839868.0,United States,Real Estate,Real Estate Investment Trusts
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),64479550797.0,Japan,Finance,Major Banks
BDX,Becton Dickinson and Company Common Stock,64138512554.0,United States,Health Care,Medical/Dental Instruments
FCX,Freeport-McMoRan Inc. Common Stock,63512204782.0,United States,Basic Materials,Metal Mining
TTD,The Trade Desk Inc. Class A Common Stock,63448926516.0,United States,Technology,Computer Software: Programming Data Processing
AFL,AFLAC Incorporated Common Stock,63330239538.0,United States,Finance,Accident &Health Insurance
TFC,Truist Financial Corporation Common Stock,63296183352.0,United States,Finance,Major Banks
KMI,Kinder Morgan Inc. Common Stock,62805766899.0,United States,Utilities,Natural Gas Distribution
ADSK,Autodesk Inc. Common Stock,62758500000.0,United States,Technology,Computer Software: Prepackaged Software
NSC,Norfolk Southern Corporation Common Stock,62408210763.0,United States,Industrials,Railroads
PCG,Pacific Gas & Electric Co. Common Stock,62287116162.0,United States,Utilities,Power Generation
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,62227822749.0,United Kingdom,Utilities,Natural Gas Distribution
SLB,Schlumberger N.V. Common Stock,62050059854.0,France,Energy,Oilfield Services/Equipment
HLT,Hilton Worldwide Holdings Inc. Common Stock ,61783554033.0,United States,Consumer Discretionary,Hotels/Resorts
PCAR,PACCAR Inc. Common Stock,61343164818.0,United States,Consumer Discretionary,Auto Manufacturing
CM,Canadian Imperial Bank of Commerce Common Stock,61171643025.0,Canada,Finance,Commercial Banks
GM,General Motors Company Common Stock,61126532746.0,United States,Consumer Discretionary,Auto Manufacturing
MET,MetLife Inc. Common Stock,61092253921.0,United States,Finance,Life Insurance
CPRT,Copart Inc. (DE) Common Stock,61078065403.0,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
TGT,Target Corporation Common Stock,60951865058.0,United States,Consumer Discretionary,Department/Specialty Retail Stores
PSA,Public Storage Common Stock,60946565981.0,United States,Real Estate,Real Estate Investment Trusts
ROP,Roper Technologies Inc. Common Stock,60738880292.0,United States,Industrials,Industrial Machinery/Components
TRV,The Travelers Companies Inc. Common Stock,60396124917.0,United States,Finance,Property-Casualty Insurers
SPG,Simon Property Group Inc. Common Stock,59904666137.0,United States,Real Estate,Real Estate Investment Trusts
NU,Nu Holdings Ltd. Class A Ordinary Shares,59717192540.0,Cayman Islands,Finance,Finance: Consumer Services
BK,The Bank of New York Mellon Corporation Common Stock,59525902058.0,United States,Finance,Major Banks
SRE,DBA Sempra Common Stock,59330509059.0,United States,Utilities,Natural Gas Distribution
JD,JD.com Inc. American Depositary Shares,58765773980.0,China,Consumer Discretionary,Other Specialty Stores
GWW,W.W. Grainger Inc. Common Stock,58700256881.0,United States,Industrials,Office Equipment/Supplies/Services
SNOW,Snowflake Inc. Class A Common Stock,58592960000.0,United States,Technology,Computer Software: Prepackaged Software
NXPI,NXP Semiconductors N.V. Common Stock,58295665385.0,Netherlands,Technology,Semiconductors
FICO,Fair Isaac Corporation Common Stock,57827000062.0,United States,Consumer Discretionary,Business Services
MFC,Manulife Financial Corporation Common Stock,57134940586.0,Canada,Finance,Life Insurance
URI,United Rentals Inc. Common Stock,56828980214.0,United States,Consumer Discretionary,Diversified Commercial Services
CHTR,Charter Communications Inc. Class A Common Stock New,56446736296.0,United States,Telecommunications,Cable & Other Pay Television Services
NTES,NetEase Inc. American Depositary Shares,56175861817.0,China,Technology,Computer Software: Prepackaged Software
AMP,Ameriprise Financial Inc. Common Stock,55683450447.0,United States,Finance,Investment Managers
JCI,Johnson Controls International plc Ordinary Share,55530866218.0,Switzerland,Industrials,Industrial Machinery/Components
PSX,Phillips 66 Common Stock,55332296633.0,United States,Energy,Integrated oil Companies
ARES,Ares Management Corporation Class A Common Stock,55326421342.0,United States,Finance,Investment Managers
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,55168536591.0,Spain,Finance,Commercial Banks
ALL,Allstate Corporation (The) Common Stock,54917589362.0,United States,Finance,Property-Casualty Insurers
SQ,Block Inc. Class A Common Stock,54884529700.0,United States,Technology,Computer Software: Prepackaged Software
VST,Vistra Corp. Common Stock,54381758845.0,United States,Utilities,Electric Utilities: Central
DHI,D.R. Horton Inc. Common Stock,54206992598.0,United States,Consumer Discretionary,Homebuilding
CVNA,Carvana Co. Class A Common Stock,54070945224.0,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ING,ING Group N.V. Common Stock,54047104546.0,Netherlands,Finance,Commercial Banks
MNST,Monster Beverage Corporation,53615008801.0,United States,Consumer Staples,Beverages (Production/Distribution)
AZO,AutoZone Inc. Common Stock,53578820157.0,United States,Consumer Discretionary,Auto & Home Supply Stores
AEP,American Electric Power Company Inc. Common Stock,53181974353.0,United States,Utilities,Electric Utilities: Central
PAYX,Paychex Inc. Common Stock,52642283532.0,United States,Consumer Discretionary,Diversified Commercial Services
MPLX,MPLX LP Common Units Representing Limited Partner Interests,52631832931.0,United States,Energy,Natural Gas Distribution
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),52532645298.0,Brazil,Finance,Major Banks
DDOG,Datadog Inc. Class A Common Stock,51892696651.0,United States,Technology,Computer Software: Prepackaged Software
FANG,Diamondback Energy Inc. Common Stock,51854360962.0,United States,Energy,Oil & Gas Production
CMI,Cummins Inc. Common Stock,51448681774.0,United States,Industrials,Industrial Machinery/Components
ROST,Ross Stores Inc. Common Stock,51380058994.0,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
PWR,Quanta Services Inc. Common Stock,50855146709.0,United States,Industrials,Engineering & Construction
